,movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
14822,68,0,0,0,0,-0.2182807,-0.1237529,9.916975,-0.04377365,0.3337206,0.0445132,-1.49E-05,3.36E-05,9.38E-07,-0.7149513,1.260825,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14823,68,0,0,0,0,-0.2296452,-0.1131886,9.881487,8.57E-05,0.3221272,0.02389279,-1.44E-05,3.31E-05,1.06E-06,-0.6562721,1.331224,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14824,68,0,0,0,0,-0.214981,-0.0912502,9.888213,-0.03293458,0.3126379,0.006542291,-1.54E-05,3.36E-05,3.13E-07,-0.5287207,1.245426,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14825,68,0,0,0,0,-0.2313764,-0.1107596,9.87972,-0.02007866,-0.6848275,-0.06362016,-1.49E-05,3.31E-05,2.31E-06,-0.6423047,1.341499,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14826,68,0,0,0,0,-0.2060806,-0.1217903,9.87148,0.08432213,0.3273965,0.04764351,-1.54E-05,3.21E-05,1.19E-06,-0.706856,1.195863,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14827,68,0,0,0,0,-0.2206925,-0.1108973,9.880953,0.02297536,-0.7781783,-0.04450111,6.25E-08,4.81E-05,1.06E-06,-0.6430229,1.279416,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14828,68,0,0,0,0,-0.224468,-0.1240731,9.887355,-0.006002936,-0.7517323,-0.09986074,-1.54E-05,3.21E-05,1.56E-06,-0.7189479,1.300434,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14829,68,0,0,0,0,-0.209664,-0.1092953,9.889892,-0.01066413,0.3449427,0.00470733,-1.49E-05,3.31E-05,1.44E-06,-0.633162,1.214404,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14830,68,0,0,0,0,-0.2278861,-0.1017077,9.863819,0.0346168,-0.7081178,-0.0522243,-1.44E-05,3.36E-05,1.44E-06,-0.5907666,1.323412,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14831,68,0,0,0,0,-0.2062946,-0.1182388,9.878013,-0.001817361,-0.6972661,-0.1164852,6.25E-08,3.31E-05,4.38E-07,-0.685792,1.196318,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14832,68,0,0,0,0,-0.2141842,-0.103198,9.882219,0.02037174,-0.6728358,-0.1116323,-1.44E-05,4.96E-05,6.88E-07,-0.5983065,1.241549,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14833,68,0,0,0,0,-0.2309988,-0.1018248,9.886291,0.03482377,-0.682059,-0.02609633,-1.54E-05,4.86E-05,4.38E-07,-0.5901024,1.338434,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14834,68,0,0,0,0,-0.2135965,-0.1181829,9.882712,-0.04736109,0.35384,0.1314342,-1.59E-05,3.31E-05,2.19E-06,-0.6851416,1.238061,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14835,68,0,0,0,0,-0.2132448,-0.1002677,9.889936,0.01506974,0.3515736,-0.02735865,6.25E-08,3.36E-05,-8.31E-06,-0.580865,1.235145,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14836,68,0,0,0,0,-0.2183256,-0.115249,9.899871,-0.04020018,0.3196273,0.01187116,-1.54E-05,3.36E-05,-8.19E-06,-0.6669766,1.263275,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14837,68,0,0,0,0,-0.217882,-0.1175564,9.886247,0.0129486,-0.6783512,-0.07340907,-1.49E-05,3.36E-05,2.19E-06,-0.6812665,1.262442,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14838,68,0,0,0,0,-0.221925,-0.1072968,9.882154,-0.07689897,0.3158948,0.04909221,-1.44E-05,4.81E-05,6.25E-08,-0.622072,1.286408,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14839,68,0,0,0,0,-0.224286,-0.1107314,9.863184,0.0881393,0.3369265,-0.005062239,-1.44E-05,4.86E-05,9.38E-07,-0.6432181,1.302583,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14840,68,0,0,0,0,-0.2190605,-0.1091528,9.885706,-0.03866878,-0.7102593,-0.02685113,-1.44E-05,3.21E-05,2.44E-06,-0.6326044,1.26935,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14841,68,0,0,0,0,-0.2337762,-0.1137293,9.88028,-0.07649773,0.3520229,-0.003865817,-1.44E-05,3.21E-05,2.44E-06,-0.6594874,1.355326,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14842,68,0,0,0,0,-0.2319366,-0.1066783,9.896905,-0.0970742,-0.6944196,-0.05412891,-1.49E-05,3.36E-05,1.31E-06,-0.617565,1.342418,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14843,68,0,0,0,0,-0.224077,-0.1073481,9.893388,-0.09141941,0.333233,0.07545813,6.25E-08,3.21E-05,2.19E-06,-0.621663,1.297404,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14844,68,0,0,0,0,-0.2077297,-0.126187,9.90399,0.009158319,-0.6968048,-0.1059321,-1.54E-05,3.36E-05,1.19E-06,-0.7299677,1.201468,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14845,68,0,0,0,0,-0.2194113,-0.1282659,9.878474,0.01276932,-0.6975753,-0.07193103,-1.49E-05,3.36E-05,1.94E-06,-0.7439088,1.272283,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14846,68,0,0,0,0,-0.2155625,-0.1102831,9.869738,-0.07174055,-0.7270455,-0.05656589,-1.49E-05,4.81E-05,8.13E-07,-0.6401886,1.251106,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14847,68,0,0,0,0,-0.2160443,-0.108456,9.866197,-0.0219549,0.3194718,0.05994299,-1.49E-05,4.81E-05,3.13E-07,-0.629809,1.254354,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14848,68,0,0,0,0,-0.2123945,-0.1068134,9.882203,0.02774248,-0.6714885,-0.1388907,-1.44E-05,3.26E-05,4.38E-07,-0.6192667,1.231175,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14849,68,0,0,0,0,-0.2097801,-0.1081204,9.89345,0.003704716,0.3152152,0.007425468,-1.54E-05,3.21E-05,4.38E-07,-0.6261311,1.214642,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14850,68,0,0,0,0,-0.2081617,-0.1140399,9.880399,0.07511949,-0.6730709,0.02496256,-1.59E-05,3.21E-05,1.94E-06,-0.6612803,1.206857,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14851,68,0,0,0,0,-0.1978682,-0.1058691,9.893521,0.03707967,0.3567799,-0.02102776,6.25E-08,3.26E-05,2.19E-06,-0.61309,1.145684,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14852,68,0,0,0,0,-0.2108022,-0.1032798,9.888152,0.003714555,0.3217034,0.04646266,-1.49E-05,3.21E-05,2.56E-06,-0.5984213,1.221218,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14853,68,0,0,0,0,-0.2296757,-0.09821863,9.882179,0.003823474,0.3364125,0.06738073,-1.59E-05,4.81E-05,1.69E-06,-0.569442,1.331329,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14854,68,0,0,0,0,-0.225362,-0.1108203,9.877973,-0.03847348,-0.7033185,-0.1292662,-1.54E-05,3.36E-05,-8.69E-06,-0.6427703,1.306871,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14855,68,0,0,0,0,-0.2020628,-0.09850861,9.875798,-0.009744952,0.4446535,0.005404646,-1.59E-05,4.81E-05,1.06E-06,-0.5714921,1.172073,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14856,68,0,0,0,0,-0.2232764,-0.1245602,9.869013,-0.02529864,0.3632146,0.1268003,-1.44E-05,3.26E-05,1.44E-06,-0.7231113,1.295935,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14857,68,0,0,0,0,-0.2205615,-0.2853185,9.898122,-0.02017076,-0.6960616,-0.07264045,-1.49E-05,3.26E-05,1.19E-06,-1.651123,1.27599,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14858,68,0,0,0,0,-0.2069766,-0.105669,9.880461,-0.009289241,-0.7005772,-0.02444953,1.56E-06,3.31E-05,1.88E-07,-0.6127402,1.199992,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14859,68,0,0,0,0,-0.2083322,-0.09143676,9.903629,0.01524593,0.3801832,0.04115042,-1.49E-05,4.81E-05,9.38E-07,-0.5289769,1.205042,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14860,68,0,0,0,0,-0.23002,-0.1004309,9.856125,-0.00596232,-0.7477951,-0.1032047,-1.44E-05,4.96E-05,6.88E-07,-0.5838065,1.336844,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14861,68,0,0,0,0,-0.2204712,-0.09839951,9.892282,-0.09146986,0.3228076,0.03976478,-1.59E-05,3.26E-05,-8.19E-06,-0.569908,1.276688,0,1,1,0,0,0,0,0,0,0,0,0,0,0
